event_id,event_type,begin_time,peak_time,end_time,class_type,source_location,active_region,instruments,note
2025-02-26T12:36:00-HSS-001,High Speed Stream,2025-02-26T12:36Z,,,,,,"DSCOVR: PLASMAG, ACE: SWEPAM, ACE: MAG",
2025-03-01T03:40:00-HSS-001,High Speed Stream,2025-03-01T03:40Z,,,,,,"STEREO A: IMPACT, STEREO A: PLASTIC",
2025-03-08T15:00:00-HSS-001,High Speed Stream,2025-03-08T15:00Z,,,,,,"DSCOVR: PLASMAG, ACE: SWEPAM, ACE: MAG",
2025-03-10T06:30:00-HSS-001,High Speed Stream,2025-03-10T06:30Z,,,,,,"STEREO A: IMPACT, STEREO A: PLASTIC",
2025-03-15T03:30:00-HSS-001,High Speed Stream,2025-03-15T03:30Z,,,,,,"STEREO A: IMPACT, STEREO A: PLASTIC",
2025-03-19T05:12:00-HSS-001,High Speed Stream,2025-03-19T05:12Z,,,,,,"ACE: MAG, ACE: SWEPAM, DSCOVR: PLASMAG",
2025-03-21T12:46:00-HSS-001,High Speed Stream,2025-03-21T12:46Z,,,,,,"ACE: SWEPAM, ACE: MAG, DSCOVR: PLASMAG",
2025-03-26T12:21:00-HSS-001,High Speed Stream,2025-03-26T12:21Z,,,,,,"DSCOVR: PLASMAG, ACE: SWEPAM, ACE: MAG",
2025-03-28T14:40:00-HSS-001,High Speed Stream,2025-03-28T14:40Z,,,,,,"STEREO A: IMPACT, STEREO A: PLASTIC",
2025-04-03T20:51:00-HSS-001,High Speed Stream,2025-04-03T20:51Z,,,,,,"DSCOVR: PLASMAG, ACE: SWEPAM, ACE: MAG",
2025-04-07T02:40:00-HSS-001,High Speed Stream,2025-04-07T02:40Z,,,,,,"STEREO A: IMPACT, STEREO A: PLASTIC",
2025-04-12T15:06:00-HSS-001,High Speed Stream,2025-04-12T15:06Z,,,,,,"ACE: SWEPAM, ACE: MAG, DSCOVR: PLASMAG",
2025-04-08T01:08:00-HSS-001,High Speed Stream,2025-04-08T01:08Z,,,,,,"DSCOVR: PLASMAG, ACE: SWEPAM, ACE: MAG",
2025-04-23T03:50:00-HSS-001,High Speed Stream,2025-04-23T03:50Z,,,,,,"STEREO A: PLASTIC, STEREO A: IMPACT",
2025-04-21T05:35:00-HSS-001,High Speed Stream,2025-04-21T05:35Z,,,,,,"DSCOVR: PLASMAG, ACE: SWEPAM, ACE: MAG",
2025-05-01T23:08:00-HSS-001,High Speed Stream,2025-05-01T23:08Z,,,,,,"DSCOVR: PLASMAG, ACE: SWEPAM, ACE: MAG",
2025-05-04T09:10:00-HSS-001,High Speed Stream,2025-05-04T09:10Z,,,,,,"DSCOVR: PLASMAG, ACE: SWEPAM, ACE: MAG",
2025-05-05T13:00:00-HSS-001,High Speed Stream,2025-05-05T13:00Z,,,,,,"STEREO A: IMPACT, STEREO A: PLASTIC",
2025-05-09T21:30:00-HSS-001,High Speed Stream,2025-05-09T21:30Z,,,,,,"ACE: SWEPAM, ACE: MAG, DSCOVR: PLASMAG",
2025-05-14T19:18:00-HSS-001,High Speed Stream,2025-05-14T19:18Z,,,,,,"DSCOVR: PLASMAG, ACE: SWEPAM, ACE: MAG",
2025-05-20T01:21:00-HSS-001,High Speed Stream,2025-05-20T01:21Z,,,,,,"STEREO A: IMPACT, STEREO A: PLASTIC",
2025-05-17T04:16:00-HSS-001,High Speed Stream,2025-05-17T04:16Z,,,,,,"ACE: MAG, ACE: SWEPAM, DSCOVR: PLASMAG",
